# Released versions and the commit each one was cut from.
# Read by .github/workflows/backfill-releases.yml. Tab-separated.
v1.0.0	160cf9ac2cd9636e49ebc4a1a266b5b753fea63e
v1.1.0	56c72dd15fc4141b45585d256309690f274fb0dd
v1.2.0	77b3695fd3e78c0e94a5346c47e149c2e6c627d9
v1.3.0	96cc63a6b4bddda311b56477f3daca03a7317310
v1.3.1	5799516e22439fbbe7984c3184d3011af4e34c17
v1.4.0	87c2c015f8aab028356e9160c4c6484227561051
v1.4.1	f18823fc5cf5c999b2b459963f91540581b11d3e
v1.5.0	84a715541ffb7e4dcff990051150c1d631a853cf
v2.0.0	4dbcf8ebdb53a487135f19ee0ea98771dd6652cf
v2.1.0	1d28cda2ff3fdf31dea2c6da3ed49785220462aa
v2.2.0	1a529c97917dc29a9f7e5d71e51ea98c02102ca5
v2.2.1	3cb4a42f7fc52b363049fb100fd9ef05488c1df8
v2.2.2	dbbdb68dbf3aa8a47195d57caa5b77f79b5907ea
v3.0.0	be09753a5cc7f19da4af128e1edd51b0cb71877e
# 3.0.1 to 3.0.4 are the steps of one debugging run, kept as an archive
# rather than as installs: each one fixed a real fault, and only 3.0.4
# made the notification arrive. 3.1.0 supersedes all four.
v3.0.1	120a47f2bf9b8690553d336636e9e30bd5bb4c3e
v3.0.2	888ee8d2a2ecd86c567132c72e9481060dab36b2
v3.0.3	b3e4b1dfa273aac018192868c324cf45531e1270
v3.0.4	836081fb6207f9c69915980153ad2807747fc258
